timestamp,model,hpo_method,best_params,best_cv_score,search_time,test_accuracy,test_precision_macro,test_precision_weighted,test_recall_macro,test_recall_weighted,test_f1_macro,test_f1_weighted,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy
2025-11-27 13:42:31,random_forest,random_search,"{'max_depth': 48, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 355}",0.9654286047394606,816.759090423584,0.9657142857142857,0.9655698162722317,0.965765206422622,0.9654173718531265,0.9657142857142857,0.9654623782951081,0.9657098140885585,0.9903381642512077,0.9847715736040609,0.9618320610687023,0.9514472455648926,0.96484375,0.9535374868004224,0.9835111542192047,0.9643510054844607,0.9560546875,0.9434865900383141
2025-11-27 14:02:54,random_forest,optuna,"{'n_estimators': 428, 'max_depth': 31, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.9677815490243334,1212.2865693569183,0.9679047619047619,0.9677893486637936,0.9679559020651737,0.967623333743585,0.9679047619047619,0.9676774120147262,0.9679023767310186,0.9903381642512077,0.9856175972927242,0.9675572519083969,0.9551820728291317,0.962890625,0.9588173178458289,0.9835111542192047,0.9680073126142597,0.955078125,0.9492337164750958
2025-11-27 14:14:18,random_forest,bayesian_optimization,"{'max_depth': 31, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 377}",0.9677311381774567,675.8926680088043,0.9679047619047619,0.967801390579773,0.9679529557963434,0.9676312747683916,0.9679047619047619,0.9676917461993613,0.9679052857492153,0.9903381642512077,0.9856175972927242,0.9666030534351145,0.9561157796451915,0.962890625,0.9588173178458289,0.9835111542192047,0.9670932358318098,0.9580078125,0.9473180076628352
2025-11-27 14:15:25,random_forest,grid_search,"{'max_depth': 30, 'min_samples_split': 2, 'n_estimators': 200}",0.9671092857656142,61.71523332595825,0.9683809523809523,0.968261647341544,0.9684054158472885,0.9681307807503046,0.9683809523809523,0.9681756393810017,0.9683733912298551,0.9893719806763285,0.9847715736040609,0.9685114503816794,0.957983193277311,0.9658203125,0.9609292502639916,0.98545101842871,0.9680073126142597,0.9541015625,0.946360153256705
2025-11-27 22:04:07,xgboost,random_search,"{'colsample_bytree': 0.7599443886861021, 'gamma': 0.023332831606807714, 'learning_rate': 0.29238910046402317, 'max_depth': 5, 'n_estimators': 413, 'subsample': 0.8056937753654446}",0.9754790175692148,16496.09677004814,0.9788571428571429,0.9787816116971608,0.9788699729856598,0.9786641103042537,0.9788571428571429,0.9787106211189748,0.9788518022556798,0.991304347826087,0.9898477157360406,0.9799618320610687,0.972922502334267,0.9755859375,0.9704329461457233,0.991270611057226,0.9780621572212066,0.974609375,0.9626436781609196
2025-11-28 13:56:53,xgboost,optuna,"{'learning_rate': 0.03574712922600244, 'max_depth': 11, 'n_estimators': 380, 'subsample': 0.8394633936788146, 'colsample_bytree': 0.6624074561769746, 'gamma': 0.07799726016810132, 'min_child_weight': 1, 'reg_alpha': 2.9154431891537547, 'reg_lambda': 0.2537815508265665}",0.9701849143246855,1491.8647272586823,0.9728571428571429,0.9727246642882734,0.9728926559077663,0.9726333040582515,0.9728571428571429,0.97266427098153,0.9728607104535086,0.9874396135265701,0.9864636209813875,0.9694656488549618,0.9673202614379085,0.9716796875,0.9662090813093981,0.9806013579049466,0.9753199268738574,0.9697265625,0.9521072796934866
2025-11-29 00:32:16,xgboost,bayesian_optimization,"{'colsample_bytree': 0.9349553422213137, 'learning_rate': 0.2017268796559709, 'max_depth': 5, 'n_estimators': 478, 'subsample': 0.9456511661859803}",0.9770924519322914,37679.19472026825,0.9812380952380952,0.9812244933800225,0.9812566964302029,0.9810665891207506,0.9812380952380952,0.9811321661526854,0.9812343350030784,0.9942028985507246,0.9932318104906938,0.9809160305343512,0.9757236227824463,0.9755859375,0.9767687434002112,0.9893307468477207,0.9789762340036563,0.9775390625,0.9683908045977011
2025-11-29 01:02:51,xgboost,grid_search,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.9731933157105012,1552.0425641536713,0.9758095238095238,0.9757973072625589,0.9758469684019428,0.9756098663340795,0.9758095238095238,0.9756864479563057,0.9758120121132713,0.9884057971014493,0.9864636209813875,0.9751908396946565,0.969187675070028,0.9697265625,0.9662090813093981,0.988360814742968,0.9753199268738574,0.9736328125,0.9636015325670498
2025-11-29 21:19:23,cnn,random_search,"{'model_params': {'num_conv_layers': 4, 'dropout_rate': 0.23074855285145227}, 'learning_rate': 0.0001, 'batch_size': 32, 'epochs': 28}",0.9927619099617004,881.6950640678406,0.9921904761904762,0.9921900993144618,0.9922020279458293,0.9921037625057847,0.9921904761904762,0.9921390494299219,0.9921883991968491,0.9971014492753624,0.9957698815566836,0.9914122137404581,0.9971988795518207,0.984375,0.9926082365364308,0.9941804073714839,0.9945155393053017,0.986328125,0.9875478927203065
2025-11-30 15:30:13,cnn,optuna,"{'num_conv_layers': 3, 'conv_filters_0': 512, 'conv_filters_1': 64, 'conv_filters_2': 128, 'dense_units': 128, 'dropout_rate': 0.22930163420191518, 'learning_rate': 0.0023359635026261607, 'batch_size': 128, 'epochs': 29}",0.9924761652946472,1209.0818674564362,0.992,0.9919238666752295,0.992014991833331,0.9919792883501588,0.992,0.9919478083191888,0.9920036848789708,0.996135265700483,0.994077834179357,0.9942748091603053,0.9906629318394025,0.9912109375,0.9904963041182682,0.9932104752667313,0.9890310786106032,0.9921875,0.9885057471264368
2025-11-30 15:40:32,cnn,bayesian_optimization,"{'model_params': {'num_conv_layers': 2, 'dropout_rate': 0.4030098462268734}, 'learning_rate': 0.0001, 'batch_size': 32, 'epochs': 28}",0.9900000095367432,618.5248103141785,0.9910476190476191,0.9910853756790505,0.9910714953327462,0.991017491924565,0.9910476190476191,0.9910416223645543,0.9910498390585296,0.9971014492753624,0.994077834179357,0.9885496183206107,0.9906629318394025,0.98828125,0.9926082365364308,0.9873908826382153,0.9899451553930531,0.9873046875,0.9942528735632183
2025-11-30 15:44:46,cnn,grid_search,"{'model_params': {'num_conv_layers': 3, 'dropout_rate': 0.3}, 'learning_rate': 0.001, 'batch_size': 64, 'epochs': 20}",0.993238091468811,253.72301483154297,0.9933333333333333,0.9933482535981868,0.9933377626394183,0.9933476825036734,0.9933333333333333,0.9933435495612077,0.9933311842876158,0.9980676328502416,0.9957698815566836,0.9914122137404581,0.9934640522875817,0.9951171875,0.9978880675818373,0.9941804073714839,0.9926873857404022,0.9892578125,0.985632183908046
